イシュー ID,説明,状態,重要度,ストーリー ポイント,プロジェクト パス,場所の種類,パス,線,列,インシデント ID,ヘルプ リンク,アセンブリ名,アセンブリ バージョン,アセンブリ公開キー,スニペット
NuGet.0002,NuGet パッケージのアップグレードをおすすめします,Active,Potential,1,Implem.Libraries\Implem.Libraries.csproj,File,Implem.Libraries\Implem.Libraries.csproj,,,System.Drawing.Common 4.5.1,,,,,"System.Drawing.Common, 4.5.1  レコメンデーション：  Remove System.Drawing.Common, and replace with new package System.Drawing.Common 10.0.1"
NuGet.0003,NuGet パッケージの機能は、フレームワークの参照に含まれています,Active,Mandatory,1,Implem.Libraries\Implem.Libraries.csproj,File,Implem.Libraries\Implem.Libraries.csproj,,,System.IO.FileSystem.Primitives 4.3.0,,,,,"System.IO.FileSystem.Primitives, 4.3.0  レコメンデーション：  新しいフレームワーク参照に含まれるパッケージ機能"
NuGet.0002,NuGet パッケージのアップグレードをおすすめします,Active,Potential,1,Implem.Libraries\Implem.Libraries.csproj,File,Implem.Libraries\Implem.Libraries.csproj,,,System.IO.Packaging 4.5.0,,,,,"System.IO.Packaging, 4.5.0  レコメンデーション：  Remove System.IO.Packaging, and replace with new package System.IO.Packaging 10.0.1"
NuGet.0003,NuGet パッケージの機能は、フレームワークの参照に含まれています,Active,Mandatory,1,Implem.Libraries\Implem.Libraries.csproj,File,Implem.Libraries\Implem.Libraries.csproj,,,System.ValueTuple 4.5.0,,,,,"System.ValueTuple, 4.5.0  レコメンデーション：  新しいフレームワーク参照に含まれるパッケージ機能"
NuGet.0004,NuGet パッケージにセキュリティの脆弱性が含まれています,Active,Optional,1,Implem.Libraries\Implem.Libraries.csproj,File,Implem.Libraries\Implem.Libraries.csproj,,,Newtonsoft.Json 12.0.1,,,,,"Newtonsoft.Json, 12.0.1  レコメンデーション：  Newtonsoft.Json, 13.0.4"
NuGet.0004,NuGet パッケージにセキュリティの脆弱性が含まれています,Active,Optional,1,Implem.Libraries\Implem.Libraries.csproj,File,Implem.Libraries\Implem.Libraries.csproj,,,System.Drawing.Common 4.5.1,,,,,"System.Drawing.Common, 4.5.1  レコメンデーション：  System.Drawing.Common, 10.0.1"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,Implem.Libraries\Implem.Libraries.csproj,File,Implem.Libraries\Utilities\Encryptions.cs,9,12,T:System.Security.Cryptography.SHA512CryptoServiceProvider,,,,,"using (var sha512cng = new SHA512CryptoServiceProvider())             {                 return sha512cng.ComputeHash(Encoding.UTF8.GetBytes(self))                     .Select(hash => hash.ToString(""x2""))                     .Join(string.Empty);             }"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,Implem.Libraries\Implem.Libraries.csproj,File,Implem.Libraries\Utilities\Files.cs,80,8,T:System.Drawing.Imaging.ImageFormat,,,,,"public static void Write(             this Image self,             string filePath,             ImageFormat format,             int reTryCount = 100)"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,Implem.Libraries\Implem.Libraries.csproj,File,Implem.Libraries\Utilities\Files.cs,80,8,T:System.Drawing.Image,,,,,"public static void Write(             this Image self,             string filePath,             ImageFormat format,             int reTryCount = 100)"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,Implem.Libraries\Implem.Libraries.csproj,File,Implem.Libraries\Utilities\Files.cs,96,20,"M:System.Drawing.Image.Save(System.String,System.Drawing.Imaging.ImageFormat)",,,,,"self.Save(filePath, format);"
NuGet.0001,NuGet パッケージに互換性がありません,Active,Mandatory,1,Implem.Pleasanter\Implem.Pleasanter.csproj,File,Implem.Pleasanter\Implem.Pleasanter.csproj,,,Microsoft.AspNet.Mvc 5.2.7,,,,,"Microsoft.AspNet.Mvc, 5.2.7  レコメンデーション：  サポートされているバージョンが見つかりません"
NuGet.0002,NuGet パッケージのアップグレードをおすすめします,Active,Potential,1,Implem.Pleasanter\Implem.Pleasanter.csproj,File,Implem.Pleasanter\Implem.Pleasanter.csproj,,,Microsoft.CSharp 4.5.0,,,,,"Microsoft.CSharp, 4.5.0  レコメンデーション：  Remove Microsoft.CSharp, and replace with new package Microsoft.CSharp 4.7.0"
NuGet.0002,NuGet パッケージのアップグレードをおすすめします,Active,Potential,1,Implem.Pleasanter\Implem.Pleasanter.csproj,File,Implem.Pleasanter\Implem.Pleasanter.csproj,,,Microsoft.Extensions.Caching.Abstractions 2.2.0,,,,,"Microsoft.Extensions.Caching.Abstractions, 2.2.0  レコメンデーション：  Remove Microsoft.Extensions.Caching.Abstractions, and replace with new package Microsoft.Extensions.Caching.Abstractions 10.0.1"
NuGet.0002,NuGet パッケージのアップグレードをおすすめします,Active,Potential,1,Implem.Pleasanter\Implem.Pleasanter.csproj,File,Implem.Pleasanter\Implem.Pleasanter.csproj,,,Microsoft.Extensions.Caching.Memory 2.2.0,,,,,"Microsoft.Extensions.Caching.Memory, 2.2.0  レコメンデーション：  Remove Microsoft.Extensions.Caching.Memory, and replace with new package Microsoft.Extensions.Caching.Memory 10.0.1"
NuGet.0002,NuGet パッケージのアップグレードをおすすめします,Active,Potential,1,Implem.Pleasanter\Implem.Pleasanter.csproj,File,Implem.Pleasanter\Implem.Pleasanter.csproj,,,Microsoft.Extensions.DependencyInjection.Abstractions 2.2.0,,,,,"Microsoft.Extensions.DependencyInjection.Abstractions, 2.2.0  レコメンデーション：  Remove Microsoft.Extensions.DependencyInjection.Abstractions, and replace with new package Microsoft.Extensions.DependencyInjection.Abstractions 10.0.1"
NuGet.0002,NuGet パッケージのアップグレードをおすすめします,Active,Potential,1,Implem.Pleasanter\Implem.Pleasanter.csproj,File,Implem.Pleasanter\Implem.Pleasanter.csproj,,,Microsoft.Extensions.Options 2.2.0,,,,,"Microsoft.Extensions.Options, 2.2.0  レコメンデーション：  Remove Microsoft.Extensions.Options, and replace with new package Microsoft.Extensions.Options 10.0.1"
NuGet.0002,NuGet パッケージのアップグレードをおすすめします,Active,Potential,1,Implem.Pleasanter\Implem.Pleasanter.csproj,File,Implem.Pleasanter\Implem.Pleasanter.csproj,,,Microsoft.Extensions.Primitives 2.2.0,,,,,"Microsoft.Extensions.Primitives, 2.2.0  レコメンデーション：  Remove Microsoft.Extensions.Primitives, and replace with new package Microsoft.Extensions.Primitives 10.0.1"
NuGet.0001,NuGet パッケージに互換性がありません,Active,Mandatory,1,Implem.Pleasanter\Implem.Pleasanter.csproj,File,Implem.Pleasanter\Implem.Pleasanter.csproj,,,Microsoft.Web.Infrastructure 1.0.0,,,,,"Microsoft.Web.Infrastructure, 1.0.0  レコメンデーション：  サポートされているバージョンが見つかりません"
NuGet.0002,NuGet パッケージのアップグレードをおすすめします,Active,Potential,1,Implem.Pleasanter\Implem.Pleasanter.csproj,File,Implem.Pleasanter\Implem.Pleasanter.csproj,,,Newtonsoft.Json 12.0.1,,,,,"Newtonsoft.Json, 12.0.1  レコメンデーション：  Remove Newtonsoft.Json, and replace with new package Newtonsoft.Json 13.0.4"
NuGet.0001,NuGet パッケージに互換性がありません,Active,Mandatory,1,Implem.Pleasanter\Implem.Pleasanter.csproj,File,Implem.Pleasanter\Implem.Pleasanter.csproj,,,Sustainsys.Saml2.Mvc 2.2.0,,,,,"Sustainsys.Saml2.Mvc, 2.2.0  レコメンデーション：  サポートされているバージョンが見つかりません"
NuGet.0003,NuGet パッケージの機能は、フレームワークの参照に含まれています,Active,Mandatory,1,Implem.Pleasanter\Implem.Pleasanter.csproj,File,Implem.Pleasanter\Implem.Pleasanter.csproj,,,System.Buffers 4.5.0,,,,,"System.Buffers, 4.5.0  レコメンデーション：  新しいフレームワーク参照に含まれるパッケージ機能"
